Dimnames of all_slid,Specimens,NEOPAL,STAPES,VOMER,QU,JJ,SPH D,SPH V
Discodeles bufoniformis_KU 341127_Fl_S_final,Discodeles bufoniformis,present,present,present,present,present,NA,present
Duttaphrynus_dodsoni_CAS-H-227515_M14411-25586_S_final,Duttaphrynus dodsoni,present,present,present,present,present,present,present
Eleutherodactuylus_cornutus CAS SU 11456_Fl_S_final,Eleutherodactuylus cornutus,present,present,present,present,present,NA,present
Eleutherodactylus_biporcatus CAS 119580_Fl_S_final,Eleutherodactylus biporcatus,present,present,present,present,present,NA,NA
Eleutherodactylus_glaphycompus_UF56811 skull_final,Eleutherodactylus glaphycompus,present,present,present,present,present,present,present
Eleutherodactylus_johnstonei_UF27911 skull_final,Eleutherodactylus johnstonei,present,present,present,present,present,present,present
Eupsophus roseus CM 57175_Fl_S_final,Eupsophus roseus,present,present,present,present,present,present,present
Fritziana_gouldii_S_NHM_95_3_6_4_final,Fritziana gouldii,present,present,present,NA,present,present,present
Gastrophryne-carolinensis_MNHN 0.5031_Paris_S_final,Gastrophryne carolinensis,NA,present,present,present,present,NA,present
Gastrotheca peruana UF65783_Fl_S_ornamented,Gastrotheca peruana,present,present,present,present,present,present,present
Guibemantis_liber_CAS-H-252002_S_Morphosource_final,Guibemantis liber,present,present,present,present,present,present,present
Haddadus_binotatus_Morphosource_USNM303295_S_final,Haddadus binotatus,present,present,present,present,present,NA,NA
Hadromophryne_natalensis_UF100828_Fl_S_final,Hadromophryne natalensis,present,present,present,present,present,present,present
Heleioporus_australiacus_S_NHM_99_2_14_1_final,Heleioporus australiacus,present,present,present,present,present,present,present
Heleophryne purcelli CAS 5171_Fl_S_final,Heleophryne purcelli,present,present,present,present,present,present,present
Hemiphractus proboscoideus UF43204_Fl_S_ornamented,Hemiphractus proboscoideus,present,present,present,present,present,present,present
Hemisus guineensis CAS258533_Fl_S_final,Hemisus guineensis,NA,NA,NA,NA,present,NA,present
Hoplophryne_uluguruensis_ZMB_13783_MfN_S_final,Hoplophryne uluguruensis,NA,NA,present,present,present,NA,present
Hyalinobatrachium fleishmanni UF 140640 skull_final,Hyalinobatrachium fleishmanni,present,present,present,present,NA,present,present
Hyla boans UF 73746_Fl_S_final_mirrored,Hyla boans,present,present,present,present,present,present,present
Hyla tuberculosa 43479_Fl_S_ornamented,Hyla tuberculosa,present,present,present,present,present,present,present
Hylodes perplicatus CAS 11764_Fl_S_final,Hylodes perplicatus,present,present,present,present,present,present,present
Hylorina sylvatica CAS 141996_Fl_S_final,Hylorina sylvatica,present,present,present,present,present,present,present
Hyperolius_viridiflavus_NHM_S_BM2005_1170_final,Hyperolius viridiflavus,present,present,present,present,present,NA,present
Hypodactylus araiodactylus UF 40764_Fl_S_final,Hypodactylus araiodactylus,present,present,present,present,present,NA,present
Igerana tasanae zmb 59332_KD_S_final,Igerana tasanae,present,present,present,present,present,NA,present
Incilius periglenes_TNHC_39447_JCossel_S_final,Incilius periglenes,present,NA,present,present,present,NA,present
Indirana-gundia_MNHN 1985.611_Paris_S_final,Indirana gundia,present,present,present,present,present,present,present
Kassina arboricola zmb 77219_KD_S_final,Kassina arboricola,present,present,present,present,present,present,present
Lankanectes_corrugatus_ZMB_62771_MfN_S_final,Lankanectes corrugatus,present,present,present,present,present,NA,NA
Leiopelma hamiltoni CAS 53931_Fl_S_final,Leiopelma hamiltoni,NA,NA,present,NA,present,NA,present
Leptobrachium hasseltii UF61841_Fl_S_final,Leptobrachium hasseltii,present,present,present,present,present,present,present
Leptodactylodon boulengeri 78472_KD_S_final,Leptodactylodon boulengeri,present,present,present,present,present,present,present
Leptodactylus melanotus UF 169108_Fl_S_final,Leptodactylus melanotus,present,present,present,present,present,present,present
Leptodactylus podicipinus zmb 54355_KD_S_final,Leptodactylus podicipinus,present,present,present,present,present,present,present
